interval_id,participant_id,video_id,start_timestamp,end_timestamp,middle_noun
iBQNRZVhyk,P35,P35_107,0:01:46.190000,0:01:49.190000,10
RFnDzKrQaI,P35,P35_104,0:13:43.760000,0:13:46.760000,10
JAOzzkHTwO,P10,P10_04,0:48:30.710000,0:48:33.710000,10
CLHvXEDobw,P07,P07_110,0:02:09.670000,0:02:12.670000,10
mgsYYdWyfY,P35,P35_108,0:11:19.820000,0:11:22.820000,10
GfaEvAbXJo,P23,P23_102,0:23:12.040000,0:23:15.040000,10
sXWdmCBPUC,P21,P21_03,0:07:03.080000,0:07:06.080000,10
owfKQjKlsC,P27,P27_103,0:38:13.350000,0:38:16.350000,10
BtmEHKhYFL,P22,P22_10,0:09:28.020000,0:09:31.020000,10
EDaGqKJEZG,P22,P22_106,0:02:43.370000,0:02:46.370000,10
LkJtZRxHkm,P29,P29_03,0:01:59.210000,0:02:02.210000,10
bGWDfVpbUe,P27,P27_104,0:06:13.340000,0:06:16.340000,10
CygRnnLIXX,P01,P01_17,0:19:06,0:19:09,10
KWEIJjDqNq,P21,P21_04,0:02:51.660000,0:02:54.660000,10
xdaiMpwdlJ,P26,P26_18,0:03:57,0:04:00,10
acNruKMPIP,P35,P35_108,0:09:53.820000,0:09:56.820000,10
gsmNXvvnaF,P07,P07_102,0:00:45.090000,0:00:48.090000,10
FdvAasxJsj,P22,P22_112,0:04:41.710000,0:04:44.710000,10
oILUgaULDA,P02,P02_123,0:14:29.760000,0:14:32.760000,10
DScrphkjEo,P08,P08_02,0:00:22.990000,0:00:25.990000,10
jLAlFxEPzc,P02,P02_131,0:07:22.310000,0:07:25.310000,10
oSDSapwPby,P26,P26_18,0:04:10,0:04:13,10
RBKcbZavhD,P35,P35_109,0:17:24.900000,0:17:27.900000,10
pPyRrPxquR,P26,P26_19,0:05:22.300000,0:05:25.300000,10
UgnBEfkzqr,P22,P22_10,0:02:03.020000,0:02:06.020000,10
oWlTSngolc,P31,P31_14,0:03:57.850000,0:04:00.850000,10
xVTAKhvoqN,P21,P21_03,0:05:40.080000,0:05:43.080000,10
TjtetkidMU,P27,P27_105,0:10:34.030000,0:10:37.030000,10
pfodVgsdUq,P02,P02_130,0:00:10.200000,0:00:13.200000,10
dsABfgWRah,P15,P15_08,0:03:36.220000,0:03:39.220000,10
zbSLvnNeHc,P08,P08_04,0:02:32.320000,0:02:35.320000,10
RrCBzPUObv,P21,P21_01,0:08:20.810000,0:08:23.810000,10
HLTrXmqxfy,P22,P22_116,0:04:09.750000,0:04:12.750000,10
hEMRhSCKyl,P22,P22_106,0:05:40.370000,0:05:43.370000,10
dGkZGeNKPF,P06,P06_103,0:04:09,0:04:12,10
EGNihNlquH,P27,P27_103,0:37:42.350000,0:37:45.350000,10
iCKUXUgCQo,P26,P26_18,0:03:38,0:03:41,10
MduuDuHWTq,P35,P35_107,0:10:29.190000,0:10:32.190000,10
dPrPSWIEXX,P35,P35_107,0:01:17.190000,0:01:20.190000,10
rJoGMruTDJ,P22,P22_109,0:04:10.500000,0:04:13.500000,10
wblyThnGxn,P27,P27_101,0:05:07.280000,0:05:10.280000,10
zOLAnBUSqY,P02,P02_123,0:14:27.760000,0:14:30.760000,10
rBBskLZPzU,P27,P27_104,0:10:41.340000,0:10:44.340000,10
DEiUFlpDIL,P22,P22_15,0:03:33.850000,0:03:36.850000,10
khLucPaoIr,P35,P35_108,0:09:47.820000,0:09:50.820000,10
nHgKXGHTmU,P22,P22_103,0:12:30.400000,0:12:33.400000,10
kPbcapeLpM,P35,P35_104,0:00:57.760000,0:01:00.760000,10
yAottKvBHu,P35,P35_104,0:14:07.760000,0:14:10.760000,10
qjyiQdDlpf,P02,P02_09,0:03:35.230000,0:03:38.230000,10
vhIZOkxOLx,P35,P35_109,0:18:18.900000,0:18:21.900000,10
iVwtRetjZr,P35,P35_104,0:29:09.760000,0:29:12.760000,10
BtSzpyrJdI,P21,P21_04,0:04:04.660000,0:04:07.660000,10
yrFWHbhtwY,P07,P07_102,0:00:37.090000,0:00:40.090000,10
yKbehHlTLY,P24,P24_03,0:04:56.050000,0:04:59.050000,10
GrTnDdMekH,P26,P26_19,0:00:37.300000,0:00:40.300000,10
dAClSRZDDY,P26,P26_103,0:04:06.590000,0:04:09.590000,10
BpvxxiaiNE,P06,P06_102,0:04:35.190000,0:04:38.190000,10
GFxbBsWndJ,P21,P21_03,0:05:34.080000,0:05:37.080000,10
UiczuSyCjM,P22,P22_102,0:02:23.980000,0:02:26.980000,10
EbdfAHbqnq,P35,P35_104,0:13:57.760000,0:14:00.760000,10
BunbFuPwHt,P27,P27_04,0:04:05.880000,0:04:08.880000,10
rCmPIfidkY,P26,P26_18,0:04:02,0:04:05,10
JyCZylYaWV,P26,P26_03,0:04:04.720000,0:04:07.720000,10
ZpFEVTMTAp,P26,P26_103,0:03:48.590000,0:03:51.590000,10
YTgCDPoyji,P22,P22_108,0:02:36.470000,0:02:39.470000,10
IyOOfAHOmj,P27,P27_104,0:06:24.340000,0:06:27.340000,10
JphLfuoGIn,P26,P26_03,0:04:06.720000,0:04:09.720000,10
LnxpQKGItk,P27,P27_103,0:04:50.350000,0:04:53.350000,10
XRAwFzFksn,P22,P22_102,0:01:58.980000,0:02:01.980000,10
tlqaUvGJeN,P02,P02_123,0:14:05.760000,0:14:08.760000,10
SwDLTguxFv,P06,P06_103,0:04:07,0:04:10,10
YKxLKceFRh,P22,P22_116,0:04:15.750000,0:04:18.750000,10
JAFnUOpuNo,P12,P12_02,0:28:01.300000,0:28:04.300000,10
zcRpIKoBXz,P35,P35_109,0:16:36.900000,0:16:39.900000,10
rArbqQRRHl,P30,P30_111,0:15:04.330000,0:15:07.330000,10
GtQIcLtMIY,P35,P35_109,0:02:07.900000,0:02:10.900000,10
jhJxvumwYn,P23,P23_102,0:07:55.040000,0:07:58.040000,10
ibkgniYxLc,P29,P29_03,0:01:37.210000,0:01:40.210000,10
aBGgIigMfE,P22,P22_10,0:11:22.020000,0:11:25.020000,10
QHqhNtOKkp,P29,P29_03,0:02:01.210000,0:02:04.210000,10
ekdBWZuwQk,P22,P22_108,0:01:52.470000,0:01:55.470000,10
QwTMSXIVdU,P02,P02_108,0:15:02,0:15:05,10
sdsIelKHtp,P22,P22_10,0:11:23.020000,0:11:26.020000,10
TazMkPzcoT,P01,P01_09,0:26:30.140000,0:26:33.140000,10
NUFVFHNddX,P07,P07_111,0:00:27.210000,0:00:30.210000,10
rSDPRWCIEe,P26,P26_103,0:03:14.590000,0:03:17.590000,10
NkQoevfXkn,P35,P35_108,0:11:34.820000,0:11:37.820000,10
slqrZvLMoB,P02,P02_108,0:04:02,0:04:05,10
kjaAeTbWni,P03,P03_13,0:00:42.860000,0:00:45.860000,10
VQYOipFntu,P15,P15_08,0:02:37.220000,0:02:40.220000,10
oGupTydTcr,P27,P27_04,0:04:07.880000,0:04:10.880000,10
PYzgWCNwXL,P03,P03_13,0:00:43.860000,0:00:46.860000,10
LMieyLyNGn,P35,P35_108,0:09:46.820000,0:09:49.820000,10
yBnxHMJCOC,P04,P04_11,0:03:51.960000,0:03:54.960000,10
poBTmEqLoQ,P35,P35_104,0:13:59.760000,0:14:02.760000,10
hvSvTTqDqH,P02,P02_108,0:03:42,0:03:45,10
gpzwczhiDO,P35,P35_108,0:02:06.820000,0:02:09.820000,10
XbHnywTQAU,P07,P07_111,0:01:06.210000,0:01:09.210000,10
gDIWVlJXOL,P22,P22_106,0:07:51.370000,0:07:54.370000,10
fjELfssVoQ,P07,P07_113,0:00:12.430000,0:00:15.430000,10
YUpomJQGzR,P35,P35_104,0:28:02.760000,0:28:05.760000,10
fGliBzGuTg,P15,P15_08,0:03:43.220000,0:03:46.220000,10
ucUeEKUpzX,P27,P27_104,0:12:50.340000,0:12:53.340000,10
skfMkGRDLe,P26,P26_19,0:01:45.300000,0:01:48.300000,10
xYJyBxiFeF,P02,P02_02,0:02:31.160000,0:02:34.160000,10
PnrANlRhjr,P35,P35_105,0:13:04.200000,0:13:07.200000,10
YiPGhAttwn,P04,P04_16,0:00:05.630000,0:00:08.630000,10
zWuxlUKhoJ,P26,P26_19,0:01:43.300000,0:01:46.300000,10
fnomHMqezf,P35,P35_108,0:11:58.820000,0:12:01.820000,10
plHOQfglCY,P08,P08_04,0:00:55.320000,0:00:58.320000,10
HnEbrLtsxr,P02,P02_05,0:00:08.840000,0:00:11.840000,10
VBEBBPBvXO,P02,P02_123,0:14:18.760000,0:14:21.760000,10
tcvMIuHSyZ,P27,P27_07,0:15:12.350000,0:15:15.350000,10
KxQWyXvMrf,P24,P24_03,0:04:42.050000,0:04:45.050000,10
oAllLtpdVJ,P03,P03_19,0:06:55.580000,0:06:58.580000,10
LTSXGkONKw,P07,P07_111,0:01:07.210000,0:01:10.210000,10
wsroYmXQfV,P02,P02_118,0:10:59.240000,0:11:02.240000,10
pMqfUibTYz,P26,P26_03,0:04:13.720000,0:04:16.720000,10
IZFtcwYHIz,P35,P35_104,0:14:06.760000,0:14:09.760000,10
jxGGqOvalP,P35,P35_107,0:01:18.190000,0:01:21.190000,10
yrapMalRze,P27,P27_103,0:37:45.350000,0:37:48.350000,10
xDRNRDNlvo,P30,P30_104,0:04:11,0:04:14,10
xpgmeXbMmD,P27,P27_101,0:18:55.280000,0:18:58.280000,10
sbUvaMBwCf,P35,P35_107,0:01:53.190000,0:01:56.190000,10
YSUIJAQhmh,P35,P35_104,0:00:58.760000,0:01:01.760000,10
HKNaMFVoSh,P27,P27_101,0:02:16.280000,0:02:19.280000,10
LHBOquMRwz,P35,P35_108,0:09:43.820000,0:09:46.820000,10
NcoKTdWzmv,P08,P08_02,0:00:23.990000,0:00:26.990000,10
NCpAQEBsIr,P26,P26_03,0:04:11.720000,0:04:14.720000,10
nmsrYkzxbe,P35,P35_108,0:17:14.820000,0:17:17.820000,10
NxSUhQHIQO,P08,P08_07,0:00:18.690000,0:00:21.690000,10
jcYBOTgKTw,P27,P27_104,0:11:47.340000,0:11:50.340000,10
ragAiBIBtq,P12,P12_01,0:05:14.490000,0:05:17.490000,10
ehmjVFiIus,P35,P35_108,0:00:06.820000,0:00:09.820000,10
WSlAfgkXno,P26,P26_18,0:04:01,0:04:04,10
YZSYjVcORw,P27,P27_101,0:18:27.280000,0:18:30.280000,10
CIdRXwdBmd,P24,P24_03,0:02:07.050000,0:02:10.050000,10
mEbsknFWEp,P26,P26_103,0:03:45.590000,0:03:48.590000,10
cBBsLXnGbl,P35,P35_108,0:02:12.820000,0:02:15.820000,10
tjXOUehqks,P26,P26_19,0:02:16.300000,0:02:19.300000,10
WtVpEqWkMe,P02,P02_118,0:11:00.240000,0:11:03.240000,10
eHUDGiZuPE,P03,P03_07,0:00:52.860000,0:00:55.860000,10
xAIjcpirZJ,P22,P22_05,0:00:38.770000,0:00:41.770000,10
XnnaDEoRcC,P27,P27_02,0:00:59.540000,0:01:02.540000,10
hmklpbrVgU,P03,P03_13,0:00:07.860000,0:00:10.860000,10
FMFpAIoCoJ,P22,P22_103,0:12:39.400000,0:12:42.400000,10
xMwuxtiKeP,P02,P02_123,0:14:36.760000,0:14:39.760000,10
kOitliYTSe,P24,P24_03,0:04:48.050000,0:04:51.050000,10
oIXbLSkewf,P35,P35_104,0:14:13.760000,0:14:16.760000,10
rfDgmRLLvK,P35,P35_109,0:17:26.900000,0:17:29.900000,10
vFxyBODwRC,P35,P35_104,0:27:55.760000,0:27:58.760000,10
WAGchMqfBd,P35,P35_108,0:11:35.820000,0:11:38.820000,10
uthXQwUFFZ,P26,P26_19,0:02:09.300000,0:02:12.300000,10
FexlbUThvW,P26,P26_103,0:03:40.590000,0:03:43.590000,10
lZJEwPAIKy,P22,P22_17,0:17:16.280000,0:17:19.280000,10
PZVqbYPXJL,P35,P35_104,0:01:31.760000,0:01:34.760000,10
fIAiQalfkh,P28,P28_102,0:00:42.160000,0:00:45.160000,10
TofOvlwBdS,P35,P35_104,0:32:43.760000,0:32:46.760000,10
UaqJxdEMJF,P27,P27_07,0:15:11.350000,0:15:14.350000,10
oTGNJzyEPT,P03,P03_19,0:08:11.580000,0:08:14.580000,10
cnkaveVeEh,P35,P35_107,0:08:52.190000,0:08:55.190000,10
seUcuoMVoz,P10,P10_04,0:48:31.710000,0:48:34.710000,10
cZbaDywbxT,P02,P02_02,0:02:00.160000,0:02:03.160000,10
IWhkUihMQJ,P22,P22_10,0:10:53.020000,0:10:56.020000,10
JAkZCdnPeV,P28,P28_102,0:00:41.160000,0:00:44.160000,10
wIFhMLdUVO,P27,P27_07,0:13:44.350000,0:13:47.350000,10
QFfocCVBSS,P01,P01_18,0:42:50.170000,0:42:53.170000,10
IQalTtTMjo,P15,P15_08,0:02:23.220000,0:02:26.220000,10
JIhrrTsaRw,P11,P11_109,0:00:41.860000,0:00:44.860000,10
xlIGGNXLKD,P26,P26_115,0:02:28.390000,0:02:31.390000,10
mzDgGsBPLE,P02,P02_123,0:14:26.760000,0:14:29.760000,10
JllvlxmiZn,P27,P27_103,0:37:07.350000,0:37:10.350000,10
MMOevOpNuP,P04,P04_104,0:10:07.090000,0:10:10.090000,10
rBwlupMhKr,P27,P27_101,0:18:21.280000,0:18:24.280000,10
rhJioLruhK,P27,P27_104,0:06:31.340000,0:06:34.340000,10
BOycNqWtmO,P26,P26_102,0:00:24.840000,0:00:27.840000,10
oyMwWjtOpp,P26,P26_112,0:06:19.250000,0:06:22.250000,10
QwpUuwYsOx,P15,P15_08,0:04:38.220000,0:04:41.220000,10
EEPAcfqNZI,P07,P07_110,0:03:29.670000,0:03:32.670000,10
sLdUDRkdTW,P27,P27_101,0:05:39.280000,0:05:42.280000,10
OWmdxdocTQ,P26,P26_18,0:04:07,0:04:10,10
xiIrfoAwcC,P22,P22_102,0:02:47.980000,0:02:50.980000,10
XpixoDLXfL,P02,P02_131,0:09:58.310000,0:10:01.310000,10
IyHRqSVzzX,P27,P27_101,0:07:13.280000,0:07:16.280000,10
tlkPgFZNKt,P35,P35_104,0:27:42.760000,0:27:45.760000,10
DOqOWUoSfd,P35,P35_104,0:13:40.760000,0:13:43.760000,10
PXNtgOBtnF,P26,P26_116,0:01:04.810000,0:01:07.810000,10
cgOkAzrTrk,P35,P35_108,0:08:48.820000,0:08:51.820000,10
xqmeOWUrDj,P22,P22_10,0:11:31.020000,0:11:34.020000,10
dLyFGWiPPT,P02,P02_135,0:02:47.070000,0:02:50.070000,10
NSwxURYehx,P26,P26_19,0:02:14.300000,0:02:17.300000,10
QpLDWmbtZY,P03,P03_19,0:08:13.580000,0:08:16.580000,10
BqgjiNZSYC,P35,P35_108,0:11:25.820000,0:11:28.820000,10
GNKpZDyUnS,P12,P12_02,0:28:00.300000,0:28:03.300000,10
chDFcDdKeM,P22,P22_117,0:16:04.630000,0:16:07.630000,10
zfeHzVTTEB,P26,P26_19,0:05:25.300000,0:05:28.300000,10
wHXGGgDmBX,P21,P21_01,0:07:37.810000,0:07:40.810000,10
PnwhoNyWlE,P22,P22_10,0:03:23.020000,0:03:26.020000,10
eSmVsnWbGF,P27,P27_103,0:37:48.350000,0:37:51.350000,10
nhpQnNKKac,P35,P35_104,0:28:05.760000,0:28:08.760000,10
GFjNKOodWe,P35,P35_108,0:09:45.820000,0:09:48.820000,10
gSdJxApVkj,P22,P22_111,0:18:50.280000,0:18:53.280000,10
WzXGFpOyce,P02,P02_108,0:06:06,0:06:09,10
jhKNIhNDMg,P22,P22_10,0:03:47.020000,0:03:50.020000,10
XIzMlAakAu,P02,P02_123,0:14:08.760000,0:14:11.760000,10
BuqZbZZLjQ,P35,P35_104,0:29:07.760000,0:29:10.760000,10
jUzuZnQHtx,P22,P22_17,0:10:30.280000,0:10:33.280000,10
coPdRQQwqm,P02,P02_02,0:02:32.160000,0:02:35.160000,10
WEGbQtmRDa,P35,P35_107,0:10:31.190000,0:10:34.190000,10
NaHOHKOAhY,P27,P27_104,0:10:40.340000,0:10:43.340000,10
paKOnOapWO,P02,P02_02,0:02:37.160000,0:02:40.160000,10
rgPvrOHNSE,P27,P27_104,0:08:17.340000,0:08:20.340000,10
AWpLcLrSbm,P22,P22_101,0:01:28.540000,0:01:31.540000,10
ynJAjkhcuw,P27,P27_02,0:01:00.540000,0:01:03.540000,10
PFRcXrIrqj,P29,P29_03,0:01:14.210000,0:01:17.210000,10
XSZpeOaCek,P23,P23_102,0:07:42.040000,0:07:45.040000,10
LhSKFaIgSI,P35,P35_109,0:16:31.900000,0:16:34.900000,10
WVIlLJJQOq,P02,P02_09,0:32:53.230000,0:32:56.230000,10
vYHwevsBUv,P15,P15_08,0:02:58.220000,0:03:01.220000,10
EcdgVJTTJm,P30,P30_107,0:02:00,0:02:03,10
dtpYBOwHVh,P22,P22_101,0:05:29.540000,0:05:32.540000,10
ydfjKyCUcn,P03,P03_19,0:08:10.580000,0:08:13.580000,10
yYcRMQwRwK,P35,P35_109,0:01:54.900000,0:01:57.900000,10
zMePUxyKSt,P35,P35_108,0:11:56.820000,0:11:59.820000,10
ywPpsVqXUM,P22,P22_108,0:01:53.470000,0:01:56.470000,10
asbLsHJvPw,P01,P01_19,0:01:35.570000,0:01:38.570000,10
ohSnnWCTcx,P28,P28_102,0:00:23.160000,0:00:26.160000,10
cQvqVrUkDK,P22,P22_17,0:17:20.280000,0:17:23.280000,10
ljEOhhYTtc,P27,P27_101,0:07:02.280000,0:07:05.280000,10
hpmPbQlUEj,P35,P35_109,0:17:20.900000,0:17:23.900000,10
OBRwNlKaEG,P27,P27_105,0:08:28.030000,0:08:31.030000,10
ssCZmiEbNT,P35,P35_104,0:14:19.760000,0:14:22.760000,10
AHFVJhLNyW,P35,P35_109,0:02:00.900000,0:02:03.900000,10
HLtXTcKnFE,P26,P26_03,0:00:26.720000,0:00:29.720000,10
RSgZuuAbLi,P27,P27_101,0:12:24.280000,0:12:27.280000,10
oHFtGXxaiN,P20,P20_04,0:02:42,0:02:45,10
AlxHrgnGMV,P29,P29_03,0:01:10.210000,0:01:13.210000,10
JdyCUmxFBl,P22,P22_101,0:01:34.540000,0:01:37.540000,10
KDmhivLxQM,P35,P35_108,0:11:57.820000,0:12:00.820000,10
ArlkzCvJLV,P15,P15_08,0:03:52.220000,0:03:55.220000,10
agHBvYTOhc,P35,P35_104,0:13:56.760000,0:13:59.760000,10
FNXfQdsfeM,P02,P02_119,0:00:33.120000,0:00:36.120000,10
zbewmdLEyz,P35,P35_104,0:27:43.760000,0:27:46.760000,10
qikUqBQnSL,P35,P35_104,0:22:06.760000,0:22:09.760000,10
MvnexSQVKp,P02,P02_04,0:01:48.970000,0:01:51.970000,10
KWAhLCNekr,P35,P35_104,0:13:53.760000,0:13:56.760000,10
jGsLQLLvrA,P30,P30_107,0:25:16,0:25:19,10
cULScsHMyc,P02,P02_09,0:04:32.230000,0:04:35.230000,10
cUTVUuWdly,P22,P22_11,0:05:22.730000,0:05:25.730000,10
xyHbfqRjme,P04,P04_11,0:03:49.960000,0:03:52.960000,10
qSedvWrpqY,P02,P02_131,0:09:57.310000,0:10:00.310000,10
IqquprGJoE,P21,P21_04,0:04:05.660000,0:04:08.660000,10
iNHswtLtgB,P08,P08_05,0:13:00.140000,0:13:03.140000,11
zErjyNsNhx,P30,P30_10,0:03:42.120000,0:03:45.120000,11
lSqLsTkMYB,P02,P02_112,0:15:04,0:15:07,11
OyWlXjfXcL,P35,P35_101,0:05:56.570000,0:05:59.570000,11
JXCNpIhaau,P02,P02_108,0:10:48,0:10:51,11
vbsCJYKPip,P14,P14_09,0:04:06.710000,0:04:09.710000,11
hkUNzvahaH,P22,P22_108,0:00:39.470000,0:00:42.470000,11
CSckkUiZlL,P25,P25_09,0:12:55.830000,0:12:58.830000,11
gUfASUmtyN,P08,P08_19,0:01:38,0:01:41,11
AMKnbzyvOO,P12,P12_04,0:26:14.230000,0:26:17.230000,11
dleLeENQQO,P04,P04_12,0:00:38.420000,0:00:41.420000,11
xSzmQUeHkz,P04,P04_12,0:00:33.420000,0:00:36.420000,11
HuEbHNqHcy,P08,P08_06,0:00:33.470000,0:00:36.470000,11
dTXZkXAnGX,P11,P11_102,0:02:01.100000,0:02:04.100000,11
SffPDzDqhN,P26,P26_119,0:01:49,0:01:52,11
qyVLCUygHD,P12,P12_02,0:27:47.300000,0:27:50.300000,11
RyjYffwNIw,P22,P22_117,0:04:13.630000,0:04:16.630000,11
TuoquWHyan,P31,P31_08,0:04:22.340000,0:04:25.340000,11
TsLtLBXxRQ,P05,P05_08,0:00:54.210000,0:00:57.210000,11
WPKfHNRFcC,P22,P22_111,0:24:36.280000,0:24:39.280000,11
uXKLgAdkKC,P28,P28_08,0:05:26.160000,0:05:29.160000,11
NnlNzXeuzO,P25,P25_106,0:06:06.220000,0:06:09.220000,11
OtnfnDDqQD,P30,P30_111,0:29:08.330000,0:29:11.330000,11
HengxlTeyP,P28,P28_111,0:08:47.100000,0:08:50.100000,11
zUWtcfeOvL,P28,P28_103,0:00:36.940000,0:00:39.940000,11
tFBXuqNPtx,P24,P24_05,0:06:09.140000,0:06:12.140000,11
TaRdmnnuNM,P23,P23_04,0:24:25,0:24:28,11
pQPlJYTMYK,P26,P26_02,0:00:58.060000,0:01:01.060000,11
gNBxBDjBGb,P35,P35_105,0:05:44.200000,0:05:47.200000,11
DOcnXTRmqX,P35,P35_104,0:42:59.760000,0:43:02.760000,11
kDcUTEfUzV,P22,P22_101,0:02:02.540000,0:02:05.540000,11
srkXrdyGhj,P22,P22_08,0:07:27.490000,0:07:30.490000,11
RnpTDrPlHU,P30,P30_101,0:05:39.420000,0:05:42.420000,11
fEssmisxGV,P30,P30_107,0:22:26,0:22:29,11
CrbnlyXVTf,P28,P28_103,0:08:34.940000,0:08:37.940000,11
CvhclTtzQT,P15,P15_08,0:01:35.220000,0:01:38.220000,11
wwVjXxGtth,P22,P22_08,0:07:28.490000,0:07:31.490000,11
FIftSIjUjY,P02,P02_03,0:03:18.750000,0:03:21.750000,11
BbUtUqjjcU,P02,P02_09,0:12:35.230000,0:12:38.230000,11
ehTEvpsbqM,P22,P22_103,0:08:03.400000,0:08:06.400000,11
ZTRMWiJCtP,P35,P35_104,0:48:47.760000,0:48:50.760000,11
mnwMuHpdaP,P15,P15_07,0:00:58.660000,0:01:01.660000,11
SNfYcIrQQT,P11,P11_104,0:12:27.420000,0:12:30.420000,11
MzAYqoVObI,P35,P35_104,0:17:07.760000,0:17:10.760000,11
rywHAmhtQh,P02,P02_09,0:09:36.230000,0:09:39.230000,11
qrhfxsLSRZ,P22,P22_111,0:06:00.280000,0:06:03.280000,11
DPsnWcJOgX,P13,P13_08,0:16:26.420000,0:16:29.420000,11
ogxMFKxhhI,P15,P15_02,0:07:42.250000,0:07:45.250000,11
XfLklQuZsI,P13,P13_08,0:16:28.420000,0:16:31.420000,11
hpoOOPPGSt,P03,P03_09,0:09:13.870000,0:09:16.870000,11
JihPEyshuN,P12,P12_02,0:28:12.300000,0:28:15.300000,11
xEsxOjDVOf,P20,P20_02,0:00:58,0:01:01,11
rtHgRyNYDY,P35,P35_104,0:46:50.760000,0:46:53.760000,11
JSyTtbDmmF,P06,P06_101,0:27:21.200000,0:27:24.200000,11
luCaMlotTG,P35,P35_104,0:17:05.760000,0:17:08.760000,11
ucrUFEzDMk,P35,P35_103,0:04:13,0:04:16,11
XZfUAeUvzL,P22,P22_115,0:00:35.620000,0:00:38.620000,11
BKIiNqqXsv,P31,P31_13,0:01:53.460000,0:01:56.460000,11
iZWFvnzbxA,P01,P01_109,0:00:53.580000,0:00:56.580000,11
KNkDDzRntp,P30,P30_108,0:08:04.610000,0:08:07.610000,11
fRuHzbeyUT,P08,P08_19,0:01:30,0:01:33,11
fqkmMYVcSC,P25,P25_106,0:17:36.220000,0:17:39.220000,11
WthVQACLId,P01,P01_106,0:11:13.550000,0:11:16.550000,11
xMfTsrqChk,P06,P06_05,0:23:08.550000,0:23:11.550000,11
MfCQAXFpJH,P28,P28_103,0:08:33.940000,0:08:36.940000,11
OEKHAeLlXE,P01,P01_104,0:03:57.820000,0:04:00.820000,11
